yil;ay;otorite_adi;istasyon_adi;tekil_yolcu_sayisi;toplam_yolculuk_sayisi
2024;2;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Eminönü - Üsküdar;133700;203303
2024;3;BEYDEN DENIZ ULASIM HIZMETLERI TURIZM VE TIC. LTD. STI.;BEYDEN - Yeniköy;9146;33260
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Beylerbeyi;2241;5366
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Hasköy;7579;14526
2024;3;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Sirkeci-Harem;13136;22664
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Yenikapı;3;3
2024;3;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Büyükada;16250;43058
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;ORTAKOY;26384;46347
2024;3;BEYDEN DENIZ ULASIM HIZMETLERI TURIZM VE TIC. LTD. STI.;BEYDEN - Beykoz;4961;12374
2024;3;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Kadıköy Balon;43992;69075
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kuzguncuk;284;1131
2024;3;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;Beşiktaş;326647;719726
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KARAKOY;130064;214227
2024;3;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;;437;470
2024;3;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Burgazada;5816;10834
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BARBAROS;116221;180694
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kasımpaşa;18297;35490
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Emirgan;6337;9773
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;İstinye;5363;9930
2024;3;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Eminönü;104579;169317
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Paşabahçe;1352;3762
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Balat;3091;5103
2024;3;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;;1131;1293
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Çengelköy;10950;38386
2024;3;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Kınalıada;5054;11989
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;BESIKTAS;13139;24591
2024;3;ISTANBUL SEHIR HATLARI TUR. SAN. VE TIC. AS.;;210;330
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Küçüksu;8136;24254
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;KADIKOY YENI;166634;304457
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;USKUDAR;68043;118701
2024;3;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Büyükada;22055;45251
2024;3;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Kadıköy Çayırbaşı;164028;269291
2024;3;SINIRLI SORUMLU MAVI MARMARA TURIZM DENIZ YOLCU VE YUK TASIMA VE ISLETME KOOPERATIFI;Heybeliada;8494;20011
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Kandilli;718;2259
2024;3;DENTUR - AVRASYA DENIZ TAS.TUR.HIZ.INS.SAN.TIC. AS.;Kabataş Ahbap İskele;1633;2106
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Anadolu Kavağı;5793;10123
2024;3;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Yeni Kabataş;35;57
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Arnavutköy;6119;11525
2024;3;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Topçular;4542;8547
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;HEYBELIADA;15257;38832
2024;3;IDO-ISTANBUL DENIZ OTD. SAN. VE TIC. A.S.;Eskihisar;4771;8943
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Üsküdar;174495;284019
2024;3;S.S. ISTANBUL KARTAL DENIZ YOL YUK VE TURZ TAS MOTORLU TAS KOOP;Heybeliada;5438;13549
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Karaköy;11457;17054
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Sütlüce;4973;8168
2024;3;TURYOL - S.S. TURIZM VE YOLCU DENIZ TASIYICILAR KOOPERATIFI;Karaköy;61846;140995
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;YENI Kabataş;50397;102254
2024;3;IBB TOPLU ULASIM HIZMETLERI MUDURLUGU;Çubuklu;982;1334
